   St.     E_TM         N_TM       Y_GK     X_GK
  B80   571493.245   190184.434   571126   190668
  B81   577511.060   196411.647   577144   196895
  B82   587481.982   198530.969   587115   199014
   C1   601735.445   211025.543   601369   211508
   C2   615268.782   203954.141   614902   204436
   C3   621217.468   190137.373   620850   190619
   C4   627497.103   178371.493   627129   178853
   C5   631915.598   167499.475   631547   167981
   C6   640831.992   157597.574   640463   158079
   C7   639511.331   144339.378   639142   144821
   C8   632786.618   132836.068   632417   133318
   C9   619753.596   130065.690   619384   130548
  C10   610451.828   122070.361   610082   122553
  C11   597735.903   119367.891   597366   119851
  C12   587660.914   113123.554   587291   113607
  C13   578447.895   107680.490   578078   108164
  C14   576017.213    97494.379   575647    97978
  C15   574654.651    85973.151   574284    86457
  C16   575200.915    74450.157   574830    74934
  C17   569650.145    65157.018   569279    65641
  C18   561904.355    57595.950   561533    58080
  C19   551457.324    57502.695   551086    57987
  C20   547001.506    47413.501   546630    47898
  C21   548888.599    34540.297   548517    35025
  C22   543908.721    22417.305   543537    22902
  C23   530942.887    14911.330   530571    15396
  C24   518984.036    12369.261   518612    12854
  C25   506461.230    13882.176   506089    14367
  C26   495428.324    19062.029   495056    19547
  C27   481552.377    19742.592   481180    20228
  C28   468791.249    25233.173   468419    25719
  C29   454623.387    22756.395   454251    23242
  C30   439666.570    19576.202   439294    20062
  C31   424708.788    16397.000   424336    16883
  C32   409752.031    13217.832   409379    13704
  C33   395415.250    11160.656   395042    11647
  C34   383366.317    17332.405   382993    17819
  C35   374292.272    27410.147   373919    27897
  C36   369413.196    40038.063   369040    40525
  C37   373885.993    54531.932   373513    55019
  C38   383187.796    63262.904   382815    63750
  C39   373279.881    71299.450   372907    71787
  C40   369587.700    83900.151   369215    84388
