   St.   E_TM     N_TM       Y_GK         X_GK
  B49   392276    67310   392648.798    66822.958
  B50   386497    73728   386869.711    73240.674
  B51   380718    80146   381090.648    79658.436
  B52   380718    88593   381090.462    88105.396
  B53   373968    97803   374340.419    97315.196
  B54   376253   108758   376625.315   108269.976
  B55   372698   116654   373070.249   116165.676
  B56   370314   124979   370686.186   124490.373
  B57   372563   133607   372934.888   133118.174
  B58   375462   142532   375833.579   142043.105
  B59   382262   149454   382633.279   148965.333
  B60   390858   151821   391229.189   151332.393
  B61   397657   158744   398028.115   158255.108
  B62   407629   160863   407999.736   160374.230
  B63   416437   162735   416807.408   162246.384
  B64   426627   159424   426997.196   158935.625
  B65   437822   155787   438191.878   155299.113
  B66   449017   152149   449386.818   151661.712
  B67   457833   153483   458202.761   152995.870
  B68   467805   155603   468174.588   155115.964
  B69   477545   158809   477914.223   158322.106
  B70   482606   165836   482974.886   165349.100
  B71   488624   172062   488992.553   171575.243
  B72   498596   174182   498964.334   173695.574
  B73   508567   176301   508935.096   175814.774
  B74   518467   178406   518834.776   177920.137
  B75   526179   175164   526546.740   174678.650
  B76   536382   176196   536749.849   175710.988
  B77   546353   178316   546720.640   177831.190
  B78   556325   180435   556692.418   179950.630
  B79   566065   183642   566432.379   183158.247
  B80   571126   190668   571493.313   190184.367
  B81   577144   196895   577511.068   196411.621
  B82   587115   199014   587481.949   198530.951
   C1   601369   211508   601735.475   211025.544
   C2   614902   204436   615268.911   203954.121
   C3   620850   190619   621217.557   190137.235
   C4   627129   178853   627497.095   178371.347
   C5   631547   167981   631915.563   167499.261
   C6   640463   158079   640831.868   157597.424
   C7   639142   144821   639511.219   144339.342
   C8   632417   133318   632786.501   132836.076
   C9   619384   130548   619753.553   130065.696
  C10   610082   122553   610451.798   122070.327
  C11   597366   119851   597735.869   119367.962
  C12   587291   113607   587660.870   113123.700
  C13   578078   108164   578447.979   107680.492
  C14   575647    97978   576017.359    97494.325
  C15   574284    86457   574654.640    85973.166
  C16   574830    74934   575200.886    74450.157
  C17   569279    65641   569650.081    65157.053
  C18   561533    58080   561904.358    57595.981
  C19   551086    57987   551457.363    57502.751
  C20   546630    47898   547001.534    47413.495
  C21   548517    35025   548888.536    34540.243
  C22   543537    22902   543908.608    22417.251
  C23   530571    15396   530942.771    14911.404
  C24   518612    12854   518983.961    12369.328
  C25   506089    14367   506461.170    13882.180
  C26   495056    19547   495428.289    19062.054
  C27   481180    20228   481552.378    19742.767
  C28   468419    25719   468791.251    25233.152
  C29   454251    23242   454623.381    22756.401
  C30   439294    20062   439666.571    19576.184
  C31   424336    16883   424708.777    16396.980
  C32   409379    13704   409752.002    13217.820
  C33   395042    11647   395415.212    11160.649
  C34   382993    17819   383366.267    17332.401
  C35   373919    27897   374292.228    27410.155
  C36   369040    40525   369413.175    40038.087
  C37   373513    55019   373885.975    54531.957
  C38   382815    63750   383187.790    63262.928
  C39   372907    71787   373279.857    71299.496
  C40   369215    84388   369587.707    83900.140
